area,year,pop,15_64,in_mig,out_mig,inc,emp,jun_high,sen_high,jun_col,sen_col,lf_tot,lf_m,lf_f,unemp,prim_emp,sec_emp,ter_emp
20407,2000,"7,757","4,306",-,-,"8,599,490",***,"2,969","2,402",448,334,"4,227","2,347","1,880",94,623,"1,396","2,113"
20409,2000,712,341,35,36,"730,744",***,254,191,38,59,320,185,135,9,31,76,204
20410,2000,"1,380",674,24,55,"1,643,343",***,648,390,78,55,752,439,313,4,166,259,323
20411,2000,"4,075","2,280",161,117,"4,453,270",***,"1,300","1,486",247,152,"2,337","1,329","1,008",43,619,791,884
20412,2000,741,357,35,65,"726,524",***,344,208,38,35,436,235,201,10,115,92,219
20413,2000,"2,239","1,096",102,100,"2,275,649",***,"1,208",604,99,83,"1,127",663,464,23,138,471,494
20414,2000,"2,237","1,121",88,90,"2,161,503",***,961,639,119,79,"1,121",630,491,17,196,431,477
20415,2000,"7,089","4,128",224,266,"8,479,943",***,"2,274","2,481",529,325,"4,083","2,300","1,783",79,754,"1,455","1,785"
20416,2000,"7,221","4,089",196,238,"8,584,208",***,"2,268","2,663",458,289,"4,219","2,317","1,902",74,"1,051","1,536","1,556"
20417,2000,"1,522",738,35,53,"1,378,003",***,831,374,54,75,860,492,368,12,211,302,335
20422,2000,"6,376","3,596",275,397,"7,736,875",***,"2,161","2,312",434,308,"3,193","1,873","1,320",65,302,"1,038","1,788"
20423,2000,"5,687","3,139",217,245,"6,708,081",***,"2,171","1,862",390,274,"2,996","1,739","1,257",66,321,"1,156","1,453"
20425,2000,"3,596","2,086",110,90,"4,700,104",***,"1,442","1,165",204,150,"1,888","1,121",767,57,189,754,888
20429,2000,"1,205",693,57,78,"1,592,424",***,407,329,92,133,635,399,236,5,80,116,434
20430,2000,"4,770","2,671",131,165,"6,103,641",***,"1,655","1,688",322,209,"2,388","1,434",954,50,196,"1,085","1,055"
20432,2000,"14,866","8,868",-,-,"19,384,150",***,"5,101","4,923","1,130",966,"8,275","4,794","3,481",201,826,"2,216","5,025"
20446,2000,"3,347","1,812",117,95,"3,847,961",***,939,"1,453",247,148,"1,897","1,057",840,43,481,531,839
